Pick,Ovr,Franchise,Player,Date/Time,Elapsed,Points,Comments
1.01,1,2 Much Johnson 4 You,"Gurley, Todd LAR RB",Mon Aug 20 6:00:02 p.m. ET 2018,-,372.1,
1.02,2,Vinegar Strokes,"Elliott, Ezekiel DAL RB",Mon Aug 20 6:00:02 p.m. ET 2018,-,329.1,[Pick made based on Pre-Draft List]
1.03,3,The Sheriff,"Barkley, Saquon NYG RB",Mon Aug 20 6:06:23 p.m. ET 2018,6 minutes,400.8,
1.04,4,Franchise 10,"Bell, Le'Veon PIT RB",Mon Aug 20 6:07:42 p.m. ET 2018,1 minute,-,
1.05,5,Meat Jerking Beef Boys,"Johnson, David ARI RB",Mon Aug 20 7:44:52 p.m. ET 2018,1 hour,246.6,I already don't like my pick... (Comments Added Mon Aug 20 8:14:46 p.m. ET 2018) I already don't like my pick... (Comments Added Mon Aug 20 8:14:55 p.m. ET 2018) I already don't like my pick... (Comments Added Mon Aug 20 8:22:20 p.m. ET 2018)
1.06,6,Monty Express,"Hopkins, DeAndre HOU WR",Mon Aug 20 7:47:52 p.m. ET 2018,3 minutes,333.5,
1.07,7,Autodraft Jesus,"Wentz, Carson PHI QB",Mon Aug 20 7:58:22 p.m. ET 2018,10 minutes,238.66,Add Comment
1.08,8,The John Dorseys,"Brown, Antonio PIT WR",Mon Aug 20 8:04:34 p.m. ET 2018,6 minutes,329.7,
1.09,9,Old No.7,"Hunt, Kareem FA* RB",Mon Aug 20 8:08:51 p.m. ET 2018,4 minutes,236.2,
1.1,10,Arrowhead Hero,"Fournette, Leonard JAC RB",Mon Aug 20 8:14:08 p.m. ET 2018,5 minutes,120.4,
1.11,11,Tittsburgh Feelers,"Beckham, Odell NYG WR",Mon Aug 20 8:17:22 p.m. ET 2018,3 minutes,239.34,
1.12,12,Too Hot To Handle,"Kamara, Alvin NOS RB",Mon Aug 20 8:19:46 p.m. ET 2018,2 minutes,357.2,
2.01,13,Too Hot To Handle,"Cook, Dalvin MIN RB",Mon Aug 20 8:20:47 p.m. ET 2018,1 minute,152,
2.02,14,Tittsburgh Feelers,"Thomas, Michael NOS WR",Mon Aug 20 8:22:57 p.m. ET 2018,2 minutes,318.5,
2.03,15,Arrowhead Hero,"Gordon, Melvin LAC RB",Mon Aug 20 8:25:31 p.m. ET 2018,2 minutes,278.5,
2.04,16,Old No.7,"McCaffrey, Christian CAR RB",Mon Aug 20 8:27:36 p.m. ET 2018,2 minutes,390.5,
2.05,17,The John Dorseys,"Freeman, Devonta ATL RB",Mon Aug 20 8:30:29 p.m. ET 2018,2 minutes,14.1,
2.06,18,Autodraft Jesus,"Hill, Tyreek KCC WR",Mon Aug 20 8:39:31 p.m. ET 2018,9 minutes,346,can we go on espn?
2.07,19,Monty Express,"Allen, Keenan LAC WR",Mon Aug 20 8:41:14 p.m. ET 2018,1 minute,260.1,
2.08,20,Meat Jerking Beef Boys,"Jones, Julio ATL WR",Mon Aug 20 8:44:39 p.m. ET 2018,3 minutes,325.9,
2.09,21,Franchise 10,"Adams, Davante GBP WR",Mon Aug 20 8:47:44 p.m. ET 2018,3 minutes,329.6,
2.1,22,The Sheriff,"Green, A.J. CIN WR",Mon Aug 20 8:55:50 p.m. ET 2018,8 minutes,149.4,
2.11,23,Vinegar Strokes,"Evans, Mike TBB WR",Mon Aug 20 8:55:50 p.m. ET 2018,-,290.4,[Pick made based on Pre-Draft List]
2.12,24,2 Much Johnson 4 You,"Gronkowski, Rob NEP TE",Mon Aug 20 8:58:12 p.m. ET 2018,2 minutes,131.2,
3.01,25,2 Much Johnson 4 You,"McCoy, LeSean BUF RB",Mon Aug 20 9:02:21 p.m. ET 2018,4 minutes,127.2,
3.02,26,Vinegar Strokes,"Mixon, Joe CIN RB",Mon Aug 20 9:03:47 p.m. ET 2018,1 minute,243.4,
3.03,27,The Sheriff,"Howard, Jordan CHI RB",Mon Aug 20 9:05:01 p.m. ET 2018,1 minute,180,
3.04,28,Franchise 10,"Rodgers, Aaron GBP QB",Mon Aug 20 9:10:26 p.m. ET 2018,5 minutes,371.58,
3.05,29,Meat Jerking Beef Boys,"Landry, Jarvis CLE WR",Mon Aug 20 9:11:59 p.m. ET 2018,1 minute,220.12,
3.06,30,Monty Express,"Diggs, Stefon MIN WR",Mon Aug 20 9:13:01 p.m. ET 2018,1 minute,269.3,
3.07,31,Autodraft Jesus,"McKinnon, Jerick SFO RB",Mon Aug 20 9:13:01 p.m. ET 2018,-,-,[Pick made based on Pre-Draft List]
3.08,32,The John Dorseys,"Fitzgerald, Larry ARI WR",Mon Aug 20 9:14:53 p.m. ET 2018,1 minute,187.68,
3.09,33,Old No.7,"Kelce, Travis KCC TE",Mon Aug 20 9:17:52 p.m. ET 2018,2 minutes,294.6,
3.1,34,Arrowhead Hero,"Cooper, Amari DAL WR",Mon Aug 20 9:20:44 p.m. ET 2018,2 minutes,221.5,
3.11,35,Tittsburgh Feelers,"Robinson, Allen CHI WR",Mon Aug 20 9:22:45 p.m. ET 2018,2 minutes,153.3,
3.12,36,Too Hot To Handle,"Smith-Schuster, JuJu PIT WR",Mon Aug 20 9:24:52 p.m. ET 2018,2 minutes,302.9,
4.01,37,Too Hot To Handle,"Watson, Deshaun HOU QB",Mon Aug 20 9:25:12 p.m. ET 2018,20 seconds,386.7,
4.02,38,Tittsburgh Feelers,"Cooks, Brandin LAR WR",Mon Aug 20 9:26:55 p.m. ET 2018,1 minute,243.2,
4.03,39,Arrowhead Hero,"Freeman, Royce DEN RB",Mon Aug 20 9:28:38 p.m. ET 2018,1 minute,101.3,
4.04,40,Old No.7,"Hilton, T.Y. IND WR",Mon Aug 20 9:31:44 p.m. ET 2018,3 minutes,242,
4.05,41,The John Dorseys,"Drake, Kenyan MIA RB",Mon Aug 20 9:33:03 p.m. ET 2018,1 minute,212.2,
4.06,42,Autodraft Jesus,"Henry, Derrick TEN RB",Mon Aug 20 9:33:03 p.m. ET 2018,-,207.36,[Pick made based on Pre-Draft List]
4.07,43,Monty Express,"Ertz, Zach PHI TE",Mon Aug 20 9:35:59 p.m. ET 2018,2 minutes,280.3,
4.08,44,Meat Jerking Beef Boys,"Jeffery, Alshon PHI WR",Mon Aug 20 9:39:18 p.m. ET 2018,3 minutes,185.3,
4.09,45,Franchise 10,"Baldwin, Doug SEA WR",Mon Aug 20 9:44:28 p.m. ET 2018,5 minutes,141.8,
4.1,46,The Sheriff,"Davis, Corey TEN WR",Mon Aug 20 9:44:28 p.m. ET 2018,-,183.6,[Pick made based on Pre-Draft List]
4.11,47,Vinegar Strokes,"Thielen, Adam MIN WR",Mon Aug 20 9:47:16 p.m. ET 2018,2 minutes,307.3,
4.12,48,2 Much Johnson 4 You,"Collins, Alex BAL RB",Mon Aug 20 9:49:00 p.m. ET 2018,1 minute,108.6,
5.01,49,2 Much Johnson 4 You,"Hogan, Chris NEP WR",Mon Aug 20 9:50:18 p.m. ET 2018,1 minute,109.2,
5.02,50,Vinegar Strokes,"Gordon, Josh NEP WR",Mon Aug 20 9:51:05 p.m. ET 2018,47 seconds,141.7,i belieevvvveee
5.03,51,The Sheriff,"Thomas, Demaryius HOU WR",Mon Aug 20 9:52:41 p.m. ET 2018,1 minute,156.7,
5.04,52,Franchise 10,"Ajayi, Jay PHI RB",Mon Aug 20 10:03:52 p.m. ET 2018,11 minutes,43.4,
